test_id,type,status,order_ok,order_error,onset_idx,onset_time_s,onset_value_N,min_force_idx,min_force_time_s,min_force_value_N,p1_idx,p1_time_s,p1_value_N,p2_idx,p2_time_s,p2_value_N,take_off_idx,take_off_time_s,take_off_value_N,landing_idx,landing_time_s,landing_value_N,key_points_count
69a0304b6ec7b67d7d87538d,cmj,ok,True,,771,0.7669,6653.99583772313,893,0.8882,3214.7938301038616,1171,1.1647,19606.668039977347,1919,1.9087,24980.421273487453,2104,2.0927,3396.862205292297,2204,2.1921,3401.641911495461,6
69a030796ec7b67d7d87538e,cmj,ok,True,,1644,1.6368,7087.524719138537,1774,1.7662,5360.2161446159935,2231,2.2212,18773.16000186049,,,,2395,2.3845,727.2841728965144,2841,2.8285,687.0265749191159,5
69a030966ec7b67d7d87538f,cmj,ok,True,,1887,1.8912,7061.134779146588,2035,2.0395,3089.4954620195954,2294,2.2991,20354.07036855216,,,,2477,2.4825,739.6431111950028,2943,2.9495,677.0006251610255,5
69a031fd6ec7b67d7d875394,cmj,ok,True,,1688,1.6836,5816.163718959125,1849,1.8442,3859.585235467306,2369,2.3629,14168.29442217785,,,,2494,2.4875,603.9879682228745,2902,2.8945,594.8247673846347,5
69a0320c6ec7b67d7d875395,cmj,ok,True,,1767,1.7702,5869.099318498499,1919,1.9225,1476.789333916545,2204,2.208,16077.951101457249,,,,2365,2.3693,625.6206002020444,2838,2.8431,597.0393861789105,5
69a0323f6ec7b67d7d875396,cmj,ok,True,,1855,1.8524,5928.820800933352,2001,1.9982,1485.631435725552,2411,2.4076,14542.803932293971,,,,2530,2.5265,607.5989365255318,3002,2.9978,625.4664292922114,5
69a0325a6ec7b67d7d875397,cmj,ok,True,,1865,1.8479,5837.138299324426,2006,1.9876,1313.293400738356,2297,2.2759,13981.24425132881,2464,2.4414,13177.790894897696,2577,2.5533,593.5107450925922,3011,2.9833,612.8168422171287,6
69a0328a6ec7b67d7d875398,cmj,ok,True,,1991,1.9886,5810.039527297719,2148,2.1454,1573.8708635054973,2420,2.4171,17883.397054316283,,,,2549,2.5459,568.609821730626,3001,2.9974,593.9677009375456,5
69a032976ec7b67d7d875399,cmj,ok,True,,2147,2.1299,5833.670199671935,2286,2.2677,940.8628602378416,2576,2.5554,16679.26882525299,,,,2719,2.6973,607.5222140182806,3162,3.1367,553.7548295240323,5
69a032cc6ec7b67d7d87539a,cmj,ok,True,,1761,1.7564,5695.331645475105,1911,1.906,2705.0895412708956,2241,2.2352,13131.204044461345,2438,2.4317,14594.559928320543,2548,2.5414,609.7954597965565,3027,3.0191,618.4031800270208,6
69a032d96ec7b67d7d87539b,cmj,ok,True,,1749,1.748,5737.732731714342,1963,1.9618,2479.158772171544,2269,2.2676,13372.419094970806,2470,2.4685,14823.654203049788,2577,2.5755,583.7183512934479,3101,3.0991,584.728154022029,6
